uuid,Keywords,label
58,Swin Transformer; Self-Supervised Learning; Based Contrastive; Contrastive Self-Supervised; Transformer Based,0
59,Statistical Data; Missing Value; Urban Statistical,0
60,Pedestrian Detection; Multispectral Pedestrian; Autonomous Driving,0
61,Social Media; Novelty Detection,0
62,Speech Recognition; Pretraining Regimen; Clean Speech; Transfer Learning; Modular Structure,0
63,Electrocatalytic Oxygen; Oxygen Reduction; Reduction Reaction; Ar-Plasma Treatment,1
64,Intraocular Pressure; Differential Resistance; Implantable Intraocular; Pressure Monitor; Monitor Microsystem,1
65,Functional Connectivity; Resting-State Functional; Dysfunctional Networks,1
66,Biomedical Text; Relation Extraction; External Features; Multi-Head Problem,0
67,Post-1990 Generation,0
68,Naples Prognostic; Prognostic Score; Overall Survival; Non-Small Cell; Cell Lung,1
69,Hidden Markov; Discrete Symbols; Continuous Attributes; Markov Models,0
70,Cell Envelope; Stress Response; Envelope Stress; Pseudomonas Aeruginosa,1
71,Meteorological Parameters; Optical Depth; Enhanced Vegetation; Vegetation Index; Aerosol Optical,1
72,Point Clouds; State-Of-The-Art Methods; Roof Point,0
73,Ship Hull; Hull Maintenance; Proposed Method; Maintenance Robot; Path Planning,0
74,Lymphoma Patients; Narrative Review; Covid-19 Vaccination; Monoclonal Antibodies; Proven Effective,1
75,Antiretroviral Therapy; Physical Health; Reduced Mobility,0
76,Weighted Max-Sat; Max-Sat Instances; Local Search; Ccls Algorithm; Maximum Satisfiability,0
77,Neurological Diseases; Rnai Therapeutics,1
78,Proposed Approach,0
79,Systematic Review; Presenting Sign; Initial Presenting; Nu/Dp Metastasis; Patients Total,1
80,Batch-Fed Wetland; Wetland Systems,1
81,Northern Spain; Atxurra Cave; Palaeolithic Rock,0
82,Spectrum Disorder; Early Diagnosis; Autism Spectrum,1
83,Marketing Images; Built-Based Servicescape; Performing Arts; Visual Attention; Tourist Hotels,0
84,Propylene Glycol+Water; Glycol+Water System,1
85,Isotope Enrichment; Isotope-Enriched Enms; Engineered Nanomaterials; Single-Particle Inductively; Inductively Coupled,1
86,Object Detection; Object Orientation; Adaptive Object; Regression Method; Orientation Regression,0
87,Groin Pain; Inter-Examiner Reliability; Doha Agreement; Classification System; Clinical Entity,1
88,Stochastic Process; Optimization Problem; Probability Level,0
89,Image Reconstruction; Projection Data; Laser Image,0
90,Biometric Systems; Footstep Recognition; Deep Residual; Residual Neural; Neural Networks,0
91,Video Coding,0
92,Road Sign; Proposed Method; Processing Time; Perception Sensors; Localization System,0
93,Decoder Designs; Semantic Segmentation; Isprs Vaihingen; Landsat-8 Corpus; Swin Transformer,0
94,Percutaneous Aspiration; Aspiration Thrombectomy; Tricuspid Valve; Marantic Endocarditis,1
95,Space Overhead; Distance Mode; Hamming Distance; Energy Saving,0
96,Magnetic Resonance; Embolization Coils; Implanted Ssec; Stainless Steel; Steel Embolization,1
97,Multifunctional Unit; Multifunctional Units; Reverse Conversion; Inter-Modulo Operations; Individual Components,0
98,Hematopoietic Stem; Reporter Lines,1
99,A; B,1
100,A; B,1
101,Motor Imagery; Feature Vectors; Proposed Method; Training Speed; Imagery Brain-Computer,0
102,Purified Exosome; Exosome Product,1
103,Machine Learning; Procurement Risk; Hybrid Machine; Hybrid Model; Learning Method,0
104,High-Dimensional Data; Large Volumes; Subspace Clustering,0
105,Cereus Inoculum; Cooling Water; Q235 Carbon; Carbon Steel; Bacillus Cereus,1
106,Bcl-2 Protein; Newly Designed,1
107,Control Group,0
108,Hybrid Ageing; Ageing Patterns,0
109,Multiband Filter; Filter Estimation,0
110,Craniofacial Skeleton; Bone Mineral; Mineral Density,1
111,High-Resolution Videos,0
112,Breast Cancer; Gpx4 Inhibitors; Innovative Immunotherapy; Immunotherapy Combination; Combination Strategy,1
113,Sentiment Analysis; Aspect-Based Sentiment; Hindi Language; State-Of-The-Art Results,0
114,Cross-Curricular Connections; Emergency Remote; Remote Teaching; Visual Arts,0
115,A; B,1
116,Mental Health; Perceived Discrimination; Health Problems; Family Medicine; Women Reported,1
117,Fast Accuracy; Accuracy Estimation; Estimation Metric; Accuracy Loss; Exploration Time,0
118,Difficulties Questionnaire; Across Ages; Longitudinal Measurement; Measurement Invariance,1
119,Lung Cancer; Nqo1 P187S; Ephx1 H139R; Ephx1 Y113H; Sult1A1 R213H,1
120,Steven-Johnson Syndrome; Metastatic Gastric; Gastric Adenocarcinoma,1
121,Capillary Hemangioma; Cardiac Capillary,1
122,Designs Generated; Electronic System; Engineering Techniques; Reverse Engineering,0
123,Scene Classification; Neural Networks; Deep Neural; Convolutional Network; Proposed Method,0
124,Collaborative Representation; Discriminative Correlation; Visual Object; Object Tracking,0
125,Antimicrobial Activity; Punica Granatum; Bacterial Strains; Electron Microscopy,1
126,Fetal Health; Possible Effects; Advanced Glycation; Oxidative Stress,1
127,Extra-Cranial Brain; Brain Activator,1
128,Brief Bursts; Fmri Experiment; Significant Activation; Brain Activity; Working Memory,1
129,Deinococcus Betulae; Four Isolates; Unidentified Glycolipids; Deinococcus Arboris; Unidentified Polar,1
130,Parauberis Infection; Recombinant M-Like; M-Like Protein; Paralichthys Olivaceus; Olive Flounder,1
131,Collagen Networks; Small Deformations; Large Amplitude; Shear Viscosity; Layer-Stacking Stages,1
132,Convolutional Oriented; High-Level Tasks; Region Hierarchies; Oriented Boundaries,0
133,Novel Kir2Dl4; 00108 Allele,1
134,Health Care; Months Postdischarge; Care Dependency; Sepsis Survivors; Icu-Treated Sepsis,1
135,Compressive Sensing,0
136,Intrinsic Factor; Greater Activity,1
137,A; B,1
138,Position Sensors; Reluctance Motor; Switched Reluctance; Future Trends; Sensorless Control,0
139,Motion Capture; Capture Technologies; Martial Arts; Systematic Survey; Using Motion,0
140,Immune-Mediated Platelet; Transfusion Refractoriness; Platelet Transfusion; Successfully Treated; Platelet Transfusions,1
141,Duck Reovirus; Muscovy Duck; Influenza Virus; Avian Influenza; Qpcr Assay,1
142,Surgical Treatment; Esophageal Cancer,1
143,Selective Attention; Region-Specific Selective; Stimulus Space; Embedded Within,1
144,Medical Devices; Sampling Procedures; Gb/T 2828; 2828 Series; Series Standards,1
145,Confidence Maps; Confidence Estimation; Shadow Regions; Shadow Confidence; Shadow Segmentation,1
146,Cross Convolution; Convolution Blocks; Structural Information; State-Of-The-Art Methods; Feature Fusion,0
147,Pose Estimation; Head Pose; Face Pose; Face Alignment,0
148,Mucins Secreted; Cell Surface; Mucus Layer; Secreted Muc2; Fut8-/- Mice,1
149,Data Technology; Interactive Virtual; Virtual Technology; Design System; Keyboard Command,0
150,Medical Image; Image Segmentation; Trainable Parameters; Convolutional Neural; Deep Convolutional,0
151,Pulmonary Toxicity; Pulmonary Exposure; High Bolus,1
152,Malignant Peripheral; Nerve Sheath; Sheath Tumor; Peripheral Nerve; Poor Prognosis,1
153,Meta Critic; Reinforcement Learning; Critic Network; Actor-Critic Algorithm; Proposed Method,0
154,Nlrp3 Inflammasome; Tncaspase-1 Mrna; Head Kidney; Nigroviridis Nlrp3; Inflammasome Could,1
155,Point Process; Process Model; Hierarchical Deep; Training Examples; Belief Networks,0
156,Multiple People; Stereo Videos; Window Sizes; Thermal-Visible Stereo; Multimodal Similarity,0
157,Mental Health; Health Care; Readmission Rates; Experienced Psychiatrists; Nurse Staffing,1
158,Active Contour; Parametric Active; Object Boundary; Boundary Detection; Contour Approaches,0
159,Alk-Positive Non-Small; Cell Lung; Lung Cancer; Brain Metastases; Non-Small Cell,1
160,Antibiotic Resistant; Bovine Mastitis; Knema Retusa; Staphylococcus Aureus; Resistant Staphylococci,1
161,Comprehensive Two-Dimensional; Non-Targeted Identification; Mass Defect; Defect Analysis; Chain Length,1
162,Beijing Crosstalk; Cultural Heritage; Intangible Cultural; Social Networks; Crosstalk Performers,0
163,Motion Segmentation,0
164,Natural Disaster; Natech Risk; Natechs Include,0
165,Driving Behavior; Energy Management; Battery Lifetime; Vehicle Speeds; Future Vehicle,0
166,Hedonic Eating; Sated Males; Hungry Rats; Extra-Hypothalamic Forebrain; Sated Females,1
167,First Configuration; Heat Pump; Heat Pumps; Membrane Distillation; Second Configuration,0
168,Add-On Strategy; Moderate-To-Severe Major; Major Depressive; Depressive Disorder; Randomized Controlled,0
169,Nutritional Quality; Crop Grains,1
170,Breast Cancer,1
171,Mental Health; Primary Care; Health Services; Health Needs; Among Patients,1
172,A; B,1
173,Effective Vaccine; Swine-Isolated Hypervirulent; Engineered Mcabs; Potential Applications; Protection Efficiency,1
174,Remote Sensing,0
175,Erythromycin Resistant; Corynebacterium Diphtheriae,1
176,Feature Point; Point Descriptors,0
177,Photocatalytic Activity; Activity Toward; Charge Separation,1
178,A; B,0
179,Post-Quantum Lattice-Based,0
180,Stepped Wedge; Incomplete Stepped; Wedge Designs; Simulated Power; Twelve Clusters,1
181,Blockchain-Based Decentralized; Local Models; Proposed Framework; Model Updates; Low-Quality Model,0
182,Random Forests; Active Contour; Contour Model; Connected Random; Multiscale Patch,1
183,Supervised Evaluation; Object Proposal; Image Segmentation; Proposal Techniques,0
184,Proton Conduction; Nb0.45 Yb0.55; Oxygen Vacancies; Cubic Pyrochlore; Pyrochlore Structure,1
185,Systemic Delivery; Breast Cancer; Hyaluronic Acid; Cancer Cells,1
186,Scene Text; Character Recognition; Text Recognition; Convolutional Neural; Deep Learning,0
187,Pose Estimation; Point Pair; Pair Features; Proposed Method; Rigid Objects,0
188,Whole-Slide Images; Lymph Node,1
189,Patients Undergoing; Postoperative Complications; 30-Day Postoperative; Gender Dysphoria; Black Race,1
190,Biogas Slurry; Slurry Reflux; Anaerobic Digestion; Microorganism Species; Methane Yield,1
191,Pollen Concentrations; Birch Pollen; Pollen Transport; Case Studies; Numerical Pollen,1
192,Systematic Literature; Literature Reviews; Apisser Methodology; Every Research; Literature Review,0
193,Germ Cell; Gonadal Colonization,1
194,Graph Matching; Symmetry-Aware Graph; Matching Algorithms; Symmetry Information,0
195,Snow Leopard; African Leopard; Panthera Uncia; Panthera Pardus; Pardus Pardus,1
196,Motion Patterns; Local Motion; Adaptive Learning; Expression Recognition; Generalize Well,0
197,Nuclear Norm; Norm Minimization; Reweighted Nuclear; Accelerated Reweighted; Minimization Algorithm,0
198,Pollutants Detection; Photocatalytic Removal; Carbon Dots; Rational Design,1
199,Image Dehazing; Proposed Technique; Quadtree Decomposition; Contextual Regularization,0
200,Distance Attention; Remote Sensing; Attention Residual; Better Compromise; Darn Achieves,0
201,Oxidative Stress; Methyl Tertiary-Butyl; Tertiary-Butyl Ether; Kg-1 Group; Mtbe Treatment,1
202,Nitrogen Removal; Novel Biological; Biological Nitrogen; Removal Process; Functional Bacteria,1
203,A; B,0
204,Biodrying Process; Effect Mechanism; Microbial Community; Community Succession; Back Mixing,1
205,Case Study; Disturbed Identity,1
206,Video Frames; Video Frame,0
207,Particle Number; Blood Groups; Plasma Metabolites; Healthy Subjects; Free Cholesterol,1
208,Metabolic Heat; Heat Rate; Soft Sensor; Specific Growth; Growth Rate,1
209,Acta Geographica; Geographica Slovenica,0
210,Retinal Tissues; Glial Cells; Photoreceptor Cells; Insm1 Promotes; Glutamine Synthetase,1
211,Unit Testing; Method Parameter; Object-Oriented Software; Similarity Metric; Adaptive Random,0
212,A; B,0
213,Scan Method; Inter-Block Scan; Global Memory; Highly Optimized; Executed Instructions,0
214,Dft2 Cells; Mhc-Ii Pathways; Tasmanian Devil; Devil Facial; Facial Tumours,1
215,Face Sketch; Sketch Synthesis; Global Search; High Frequency; Position Constraint,0
216,Interference Mitigation; Hddm Hardware; Hardware Implementation; Mitigation Capabilities,0
217,Enzymatic Activities; Assay Formats,1
218,Carbon Emissions; Digital Services; Economic Growth; Industrial Convergence; Emissions Reduction,1
219,Excitatory Amino; Amino Acid; Cyanidin Chloride; Hippocampal Inflammation; Brain Regions,1
220,Non-Human Data; Personality Neuroscience; Special Issue,1
221,Tourist Destinations; Audience Participation; Martial Arts; Cultural Contact; Wushu Film,0
222,Object Tracking; Correlation Filter; Satellite Videos; Interacting Multiple; Multiple Model,0
223,Decision Algorithm; Early Termination; Coding Unit; Random Access; Encoding Time,0
224,Nursing Students; Pilot Project; Human Body,0
225,Camera Identification; State-Of-The-Art Algorithms; Digital Camera,0
226,Dynamic Compilation; Compilation System; Configuration Transformation,0
227,Hiv-1 Infection; Inbound Travelers; Infection Among; Shanghai Residency; Among Foreign,1
228,Hidden Markov; Markov Model; Brain Activity,1
229,Optical Coherence; Coherence Tomography; Scar Vasculature; Mature Scars; Area Density,1
230,Video System; Abdominal Video; Anchored Video; Magnetically Anchored; Anchored Abdominal,1
231,Anastomotic Leaks; Water-Soluble Contrast; Anastomotic Leakage; Contrast Enema; Morphological Types,1
232,Multiscale Tensor; Tensor Regularization,1
233,Carbon Primer; Current Collector; Hermetic Dense,0
234,Mean Ec50; Vitro Sensitivity; Disease Management; Species Complex,1
235,Cyclohexanone Monooxygenase; Reductive Dehalogenation; Chiral Α-Fluoroketones,1
236,Regression Wavelet; Near-Lossless Compression; Remote Sensing; Sensing Data; Wavelet Analysis,0
237,Automotive Powertrain; Powertrain Components,0
238,Scientific Papers,1
239,Electric Lighting; Integrated Daylighting; Lighting Systems,0
240,Crosstalk Faults; Power Consumption; Transition Patterns; Crosstalk Avoidance; Overhead-Efficient Olcs,0
241,Point Clouds; Hierarchical Transform,0
242,Medical Knowledge; Knowledge Features; Clinical Event; Learning-Based Methods; State-Of-The-Art Systems,0
243,Formal Health; Positive Changes; Public Health; Community Centre; Centre Activities,1
244,Dynamic Illumination; Using Light; Light Emitting; Emitting Diodes,0
245,Cortical Bone; Free Plasma; Cancellous Bone; Bone Pharmacokinetics; Antimicrobial Bone,1
246,Maxillary Right; Endodontic Microsurgery; First Premolar; Chronic Apical; Apical Abscess,1
247,Reconfigurable Network; Network Systems; Software-Defined Networking,0
248,Experience-Based Knowledge; Cooperative Information; Information Systems; Knowledge Management,0
249,Contour Fragments; Shape Priors; Priors Extracted; Cervical Smear; Overlapping Cytoplasm,1
250,Circuit-Magnetic Stimulation; Spinal Cord; Neural Circuit-Magnetic; Double-Target Neural; Cord Injury,1
251,Computer Aided; Disassembly Planning; Aided Disassembly,0
252,Dietary Diversity; Generating Activities; Income Generating,1
253,Incremental Learning; Random Forests; Class Incremental; Learning Method; Activity Recognition,0
254,Person Re-Identification; Attention Network; Hybrid Memory; One-Shot Person; Relation-Based Attention,0
255,Image Segmentation; Fuzzy Approach,0
256,Plaque Detection; Decision Support; Deep Learning; Automatic Plaque; Deep Learning-Based,1
257,Image Reconstruction; Tomographic Gamma; Gamma Scanning; Reconstructed Image,0
258,A; B,1
259,Scene Classification; Remote Sensing; Proposed Method,0
260,Water Quality; Temporal Patterns; Quality Data; Time-Series Water; Variables Like,1
261,A; B,1
262,Chromatic Structure; Color Space; Preferred Colors; Color Gamuts; Traditional Paintings,0
263,Data Packets; Small Data,0
264,Global Power; Power Control; Power Transmission,1
265,Pyridyl Ethers,1
266,Image Segmentation; Medical Image; Data Distribution; Labeled Data; Distribution Translation,1
267,Growth Performance; Intestinal Morphology; Linearly Decreased; Dietary Calcium; Non-Phytase Supplemented,1
268,A; B,1
269,Built Environment; Environment Stocks; Spatiotemporally Explicit; Urban Development; Urban Built,1
270,Optical Modulators,0
271,Atlantic Rock; Early Bronze; Carving Tradition,0
272,Xenografted Tumors; Papillary Thyroid; Thyroid Cancer,1
273,Fine-Grained Weight; Neural Network; State-Of-The-Art Bsas; Weight Quantization,0
274,Smallholder Dairy; Cluster Analysis; Farming Systems; Dairy Farming; Urban Areas,1
275,Mitochondrial Genome; Complete Mitochondrial; Soft-Shell Clam,1
276,Clinical Assessment,1
277,Dialect Recognition; Factor Analysis; Non-Negative Factor; Gaussian Mixture; Mixture Model,0
278,Deep Learning; Deep Learning/Inference; Pattern Recognition; Learning/Inference Processor; Learning Applications,0
279,Interlocked Network; Facile Structural; Achieving Nir-Ii; Structural Isomerization-Induced; Phototheranostic Agents,1
280,Cannabinoid Receptors; Endocannabinoid System,1
281,Deep Learning; Learning Framework; Human Activity; Activity Recognition; User Adaptation,0
282,Mechanisms Underlying,1
283,Energy Harvesting; Blue Energy; Wave Energy,1
284,Nuclei Segmentation; Deep Structured; Residual Encoder-Decoder; Encoder-Decoder Network; Loss Function,1
285,Matrix Composites; Aluminum Matrix,0
286,Compressed Sensing; Multi-Dimensional Flow-Preserving; Time-Resolved Velocity-Encoded; Flow-Preserving Compressed; Image Quality,1
287,Digital Predistortion; Neural Network; Power Amplifiers; Proposed Models; Hardware Cost,0
288,Optical Flow; Convolutional Layers,0
289,A; B,0
290,A; B,0
291,Fibre Mechanics; Biceps Femoris; Adductor Muscle; Produced Significantly; Significantly Lower,1
292,Markov Chain; Approximate Esophagus; Esophagus Shape; Particle Filter,1
293,Multiuser Beamforming; Robust Fractional; Fractional Qcqp; Efficient Algorithm; Proposed Algorithm,0
294,Dense Connections; Image Super-Resolution; Accurate Image; Super-Resolution Using; Using Dense,0
295,Metal Anodes; Electrolyte Chemistry; Solid Electrolyte; Solvation Structure,1
296,Optic Flow; Biologically Inspired; Neural Network; Inspired Neural; Self-Motion Estimation,0
297,18-Methyl-19-Nortestosterone Metabolite; Urine Sample; Dietary Supplements; 18-Methyl Steroids; Forensic Urine,1
298,Fuel Cell,0
299,Image Ensemble,0
300,A; B,0
301,Consumer Electronics; Process Technologies,0
302,A; B,0
303,Medical Image; Image Synthesis; Vision Transformers; Generative Adversarial,0
304,A; B,1
305,Low-Rank Plus; Plus Sparse,0
306,Ev71 Infection; Glycolysis Pathway; Upregulated Proteins,1
307,Video Recommendation; Recommendation Service; Proposed Model; Probability Matrix; Item Information,0
308,Modality Propagation; Image Synthesis; Pathological Cases; Generative Model; Extended Modality,1
309,Radiation Protection; Radiological Risk,0
310,Type-2 Fuzzy; Data Streams; Interval Type-2; Fuzzy Classifier; Rule Base,0
311,Gesture Recognition; Energy Consumption; Dynamic Inference; Semg-Based Gesture,0
312,Neural Network; Convolutional Neural; Deep Representation; Face Verification,0
313,Pulmonary Artery; Unilateral Absence; Absent Pulmonary; Pulmonary Valve,1
314,Modeling Multiple; Dependent Variables; Single-Case Experimental; Experimental Design; Using Multilevel,1
315,Colour Change; Explosive Breeding; Rapid Colour,1
316,Linear Encoding; Lossy Transmission; Channel Coding; Entropy Coding; Block Length,0
317,Neural Interface; Distributed Neural; Wirelessly Powered,1
318,Arbitrary Polygonal,0
319,Powered Exoskeletons; Lower Limb; Assistive Exoskeletons; Elderly People,0
320,Domain Ontology,0
321,Fast Algorithm; Fractional Qcqp; Proposed Fast; Secure Beamforming; Cognitive Nonorthogonal,0
322,Tree Kernels; Tree Kernel,0
323,Urban Areas; Actual Measurements; Probabilistic Approach; Representative Person,1
324,Carbon Nanotube; Exogenous Delivery; Nano Catalytic; Catalytic Medicine,1
325,Gesture Recognition,0
326,Space Target; Landmark Regression; Target Pose; Pose Estimation; Target Landmark,0
327,Academic Proficiency; Peak Exposures; Third Grade; English Language; Language Arts,1
328,Load Forecasting; Neural Network; Term Load; State-Of-Art Algorithms; Proposed Algorithm,0
329,Entity Alignment,0
330,Chord Recognition; Chord Templates; Rescaled Chroma,0
331,Neurodegenerative Disease,1
332,Mean-Square Error; Minimum Mean-Square; Mel-Frequency Cepstral; Theoretically Consistent; Proposed Method,0
333,Side Effects; Selective Head; Head Cooling; Significant Difference; Whole-Body Cooling,1
334,Gynecological Malignancies; Aryl Hydrocarbon; Cancer Stem; Stem Cells; Signaling Pathways,1
335,Iterative Method,0
336,Food Enzyme; Dietary Exposure; Enzyme Β-Galactosidase; Genetically Modified; Modified Kluyveromyces,1
337,Clean Speech; Speech Spectral; Optimal Estimator,0
338,Cell-Cell Interactions,1
339,Optimisation Method; Optimisation Process,0
340,Proposed Approach; State-Of-The-Art Techniques; Average Correlation; Relevant Documents; In-Text Citation,0
341,Aqueously Processed; Active/Inactive Materials; Aqueous Processing,0
342,Back-Barrier Technique; Based Sensor; Proposed Back-Barrier; Hemt Based; Voltage Readout,0
343,Feature Representation; Feature Representations; Unconstrained Face; Face Recognition; Machine Learning,0
344,Peripheral Odontogenic; Odontogenic Fibroma,1
345,Recurrent Infection; Delayed Identification; Source Control; Intra-Abdominal Infection; Antibiotic Therapy,1
346,System-Level Efficiency; Neural Networks,0
347,Face Images; Deblurring Face; Kernel Estimation; Existing Methods; Less Effective,0
348,Product Line; Line Configuration,0
349,Aortic Arch; Totally Percutaneous; Ascending Aorta,1
350,Sodium-Glucose Cotransporter; Diabetes Mellitus; Asian Type,1
351,Path Planning; Automated Driving; Generic Interface; Driving Function; State-Of-The-Art Path,0
352,Human Pose; Pose Estimation; Martial Arts; Particle Filter,0
353,Proposed Solution; Skin Lesion; Lesion Classification; Data Imbalance; Deep Neural,0
354,Topological Features; Hand Gestures,0
355,Near Real-Time; Stereo Matching; Computational Requirements,0
356,Evolutionary Response; Climate Changes; Static Allometry; Least Resistance,1
357,Genetic Diversity; Horseshoe Crab; Yucatan Peninsula; Limulus Polyphemus; Genetic Structure,1
358,Economic Costs; Incremental Costs; Multisectoral Nutrition; Total Incremental; Credit Platform,1
359,Cardiac Cells; Hace1 Overexpression; Ischemia/Reperfusion Injury; Myocardial Ischemia/Reperfusion; H/R-Exposed Cardiac,1
360,Reconfigurable Approximate; Approximate Adders; Approximate Carry; State-Of-The-Art Reconfigurable; Look-Ahead Adder,0
361,Growing Self-Organizing; Adaptive Resonance; Resonance Theory; Theory Maps; Self-Organizing Maps,0
362,Viral Hepatitis; Spanish Society; Comprehensive Diagnosis; Positive Result,1
363,Transformation Electromagnetics; Horn Antennas,0
364,Factor Viii; Time Dependent; Indian Patients,1
365,Solar Cells; Dye-Sensitized Solar; Thin-Film Solar,0
366,Chronic Conditions; Pregnant Women; Medication Change; Take Medication; Health Care,1
367,Feature Points; Multimodal Images; Joint Detection,0
368,Neural Network; Network Architectures,0
369,Deep Learning; Recitations Using; Holy Qur'An; Qur'Anic Recitation,0
370,Working Memory,1
371,Realistic Videos; Interaction Features; Human-Object Interactions; Object W.R.T; Human-Object Interaction,0
372,Mediterranean Iberia; Final Palaeolithic,0
373,Reconfigurable Analog; Respiratory Signals; Analog Front-End,1
374,Esophageal Squamous; Squamous Cell; Cell Carcinoma; Myeloid Cells; Cellular Heterogeneity,1
375,Time-Series Data; User Experience; State-Of-The-Art Package; Open-Source Python; Python Package,0
376,Contour Transformer; Learning Methods; Anatomy Segmentation; Fully Supervised; Anatomical Structures,1
377,Optical Flow; Flow Estimation; Objective Function; Weighted Guided; Guided Filtering,0
378,Future Directions; Biot Applications,0
379,Predictive Value; External Validation; Positive Predictive; Prediction Model; Nondiabetic Hyperglycemia,1
380,Linear Piezoelectric; Piezoelectric Microactuators; Piezoelectric Microactuator,0
381,Microbiota Manipulation; Nervous System,1
382,Colon Cancer; Cancer Cells; Autophagic Cell; Cell Death,1
383,Academic Performance; Clinical Implications; Autism Spectrum; Spectrum Disorder; Autistic Children,1
384,Aerial Robot; Pose Estimation; Rpeod System; Real-Time Pose; Object Detection,0
385,Poisson Corrupted; Corrupted Images; Images Using; Noise Parameters; Variance Stabilization,0
386,Proposed Work; Optimized Backlight; Among Multiple; Power-Psnr Performance; Frame Psnr,0
387,Medical Ultrasound; Ultrasound Applications; Integrated Circuits,1
388,Supervised Multi-View; Canonical Correlation; Correlation Analysis; Proteomic Features; Recurrent Prostate,1
389,Fuzzy Logic; Proposed Scheme; Image Fusion; Panchromatic Image; Additive Wavelet-Based,0
